id,modularity_class
0,11
7473,11
34639,11
26117,11
26902,11
17019,11
23134,11
28289,11
23670,11
8509,11
8507,11
8478,11
7552,11
7551,11
19941,11
7544,11
7542,11
11521,11
7486,11
21767,11
1152,11
9664,11
20190,11
17104,11
9696,11
9712,11
9710,11
11638,11
964,11
1043,11
6511,11
4867,11
5974,11
9691,11
9665,11
4221,11
16681,11
17866,11
26724,11
20089,11
26622,11
29906,11
9671,11
25478,11
7454,11
26283,11
7452,11
7768,11
7746,11
7734,11
7730,11
7708,11
13767,11
7689,11
15227,11
14795,11
7675,11
7586,11
7674,11
7668,11
7662,11
7631,11
30341,11
7620,11
7599,11
9715,11
7775,11
7793,11
7798,11
7421,11
30653,11
8578,11
26673,11
1,11
26259,11
7423,11
19943,11
7422,11
29768,11
7642,11
30949,11
30450,11
16466,11
29592,11
29516,11
7442,11
29332,11
7588,11
26183,11
7591,11
9182,11
5949,11
3666,11
9751,11
9926,11
9953,11
12850,11
12254,11
15012,11
17252,11
25374,11
33176,11
12983,11
27642,11
30186,11
30493,11
29899,11
26628,11
8282,11
10352,11
18748,11
14019,11
18672,11
21105,11
17904,11
9862,11
9854,11
9853,11
24506,11
9832,11
24401,11
955,11
9918,11
12990,11
26817,11
16567,11
16901,11
18994,11
10472,11
24223,11
9793,11
9765,11
9761,11
2276,11
3882,11
7658,11
3836,11
21385,11
21384,11
9607,11
13727,11
26216,11
9593,11
17137,11
3393,11
9512,11
9509,11
9479,11
9474,11
9473,11
9461,11
27923,11
32442,11
9430,11
9398,11
34966,11
9631,11
9639,11
10110,11
9961,11
1165,11
10056,11
26395,11
13271,11
10009,11
9989,11
9988,11
9969,11
14643,11
15309,11
8530,11
9733,11
9714,11
17441,11
9867,11
9653,11
14689,11
20379,11
22609,11
7802,11
17138,11
9092,11
22868,11
33441,11
22383,11
8285,11
21170,11
19823,11
8396,11
8380,11
5103,11
10231,11
26998,11
8363,11
12974,11
8348,11
19998,11
8334,11
10359,11
8316,11
20991,11
33208,11
8409,11
8425,11
12600,11
35219,11
3221,11
11401,11
9584,11
12453,11
12727,11
3706,11
17676,11
18293,11
8431,11
1057,11
16623,11
27359,11
8454,11
14971,11
17769,11
8432,11
33709,11
23908,11
11299,11
26596,11
12794,11
12152,11
7841,11
7827,11
7820,11
28161,11
31423,11
24051,11
8083,11
19460,11
33471,11
8180,11
20457,11
15896,11
9967,11
9137,11
8176,11
8169,11
8168,11
27317,11
7857,11
7895,11
17276,11
8054,11
8344,11
8009,11
7997,11
26036,11
7972,11
7939,11
1110,11
5569,11
1114,11
7900,11
3482,11
11324,11
2766,11
22714,11
18568,11
34092,11
1128,11
14754,11
28099,11
7587,11
7578,11
7345,11
2345,11
20459,11
21158,11
